season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2021,NBA,Dallas Mavericks,DAL,1,26.3,42.0,30.0,41.0,31.0,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,55.00000000000001,11.1,21.1,18.9,0.534,11.5,77.8,0.197,American Airlines Center,94849.0,2635.0
2021,NBA,Denver Nuggets,DEN,1,26.1,47.0,25.0,47.0,25.0,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,55.7,12.1,24.7,17.599999999999998,0.545,12.9,78.9,0.2,Ball Arena,54563.0,1516.0
2021,NBA,Detroit Pistons,DET,0,24.5,20.0,52.0,26.0,46.0,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,51.9,13.5,21.9,20.7,0.541,12.6,76.9,0.195,Little Caesars Arena,14250.0,396.0
2021,NBA,Golden State Warriors,GSW,0,26.7,39.0,33.0,38.0,34.0,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,55.1,13.3,17.9,18.8,0.522,13.1,76.6,0.223,Chase Center,33457.0,929.0
2021,NBA,Houston Rockets,HOU,0,26.5,17.0,55.0,20.0,52.0,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,52.1,13.0,19.8,18.7,0.555,12.9,77.1,0.201,Toyota Center,117009.0,3250.0
2021,NBA,Indiana Pacers,IND,0,26.5,34.0,38.0,36.0,36.0,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,54.2,11.9,20.2,18.0,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,,
2021,NBA,Los Angeles Clippers,LAC,1,28.8,47.0,25.0,49.0,23.0,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,56.39999999999999,12.2,22.7,18.6,0.531,11.9,79.1,0.186,STAPLES Center,13901.0,386.0
2021,NBA,Los Angeles Lakers,LAL,1,28.2,42.0,30.0,42.0,30.0,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,53.6,13.6,22.5,20.0,0.526,13.7,79.7,0.184,STAPLES Center,23313.0,648.0
2021,NBA,Memphis Grizzlies,MEM,1,24.2,38.0,34.0,38.0,34.0,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,52.800000000000004,11.6,24.2,17.9,0.535,13.1,78.3,0.196,FedEx Forum,61449.0,1707.0
2021,NBA,Miami Heat,MIA,1,27.4,40.0,32.0,36.0,36.0,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,54.6,13.1,19.4,19.900000000000002,0.542,13.8,77.9,0.183,AmericanAirlines Arena,,
2021,NBA,Milwaukee Bucks,MIL,1,28.1,46.0,26.0,48.0,24.0,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,56.599999999999994,12.0,23.3,17.7,0.536,11.5,79.7,0.157,Fiserv Forum,64780.0,1799.0
2021,NBA,Minnesota Timberwolves,MIN,0,23.2,23.0,49.0,24.0,48.0,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,52.0,12.4,22.7,19.3,0.556,13.3,76.8,0.207,Target Center,15774.0,438.0
